país,medio,canal,fecha_hora,segmento,marca,versión,duración,valor_dolares
BRASIL,RD,TUPI FM 96.5,2024-08-17 06:02:27+00,Greytime,BETACTION,CARIOCA DE VERDADE,24,865.4
BRASIL,TC,BANDSPORTS,2024-08-17 06:10:14+00,Greytime,VIRTUAL CHARM,RESPEITO SEGURANCA,30,1292
BRASIL,RD,Rádio Vitoriosa 105.5 FM,2024-08-17 06:12:23+00,Greytime,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,RD,Rádio Gorutubana 1380 AM,2024-08-17 06:12:31+00,Greytime,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,RD,CBN FM 90.5,2024-08-17 06:43:23+00,Greytime,BETACTION,PROFETA,29,
BRASIL,TC,ESPN,2024-08-17 06:49:52+00,Greytime,NEOWIN,FUTEBOL,5,229.05
BRASIL,TC,ESPN,2024-08-17 06:50:02+00,Greytime,WINSHARK,FUTEBOL,5,229.05
BRASIL,TC,ESPN2,2024-08-17 07:39:36+00,Greytime,MEGAGAME,RUGBY,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:40:21+00,Greytime,NEOWIN,FUTEBOL,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:40:31+00,Greytime,LUCKY LINE,FUTEBOL,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:45:47+00,Greytime,MEGAGAME,RUGBY,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:45:52+00,Greytime,MEGAGAME,SUPER BONUS DE 500 A,15,280.5
BRASIL,TC,ESPN,2024-08-17 07:50:07+00,Greytime,SPORTFLIX,NOVO BONUS F,30,610.8
BRASIL,TC,ESPN3,2024-08-17 07:51:47+00,Greytime,SPORTFLIX,NOVO BONUS F,30,140
BRASIL,RD,CBN FM 90.5,2024-08-17 07:51:48+00,Greytime,BETACTION,PROFETA,29,
BRASIL,TC,ESPN,2024-08-17 08:04:37+00,Day,BETACTION,BOLA DA VEZ,5,277.5
BRASIL,TC,ESPN3,2024-08-17 08:14:40+00,Day,MEGAGAME,CICLISMO,5,78.75
BRASIL,TC,ESPN,2024-08-17 08:18:21+00,Day,SPORTFLIX,NOVO BONUS F,30,740
BRASIL,TC,ESPN,2024-08-17 08:20:01+00,Day,NEOWIN,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 08:20:11+00,Day,LUCKY LINE,FUTEBOL,5,277.5
BRASIL,RD,ENERGIA 97.7 FM,2024-08-17 08:29:01+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,MULTISHOW,2024-08-17 08:36:11+00,Day,FOOTY MANAGER,DEFINICAO,30,
BRASIL,TC,ESPN2,2024-08-17 08:46:07+00,Day,SPORTFLIX,NOVO BONUS F,30,340
BRASIL,TC,ESPN3,2024-08-17 09:04:57+00,Day,MEGAGAME,CICLISMO,5,78.75
BRASIL,TC,ESPN3,2024-08-17 09:05:02+00,Day,MEGAGAME,SUPER ODDS,15,157.5
BRASIL,TC,SPORTV 2,2024-08-17 09:10:15+00,Day,FOOTY MANAGER,DEFINICAO,30,220
BRASIL,TC,ESPN,2024-08-17 09:17:58+00,Day,LUCKY LINE,TIME GRANDE,30,740
BRASIL,TC,ESPN,2024-08-17 09:20:14+00,Day,NEOWIN,FLASH BETS,30,740
BRASIL,TC,ESPN5,2024-08-17 09:24:04+00,Day,LUCKY LINE,TIME GRANDE,30,160
BRASIL,TC,ESPN,2024-08-17 09:27:52+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,740
BRASIL,TC,ESPN3,2024-08-17 09:29:23+00,Day,MEGAGAME,SUPER BONUS DE 500 A,15,157.5
BRASIL,TC,ESPN,2024-08-17 09:29:52+00,Day,LUCKY LINE,TIME GRANDE,30,740
BRASIL,TC,ESPN2,2024-08-17 09:40:30+00,Day,BET4FUN,VEM PRO PLAY,30,340
BRASIL,TC,ESPN2,2024-08-17 09:41:49+00,Day,NEOWIN,FUTEBOL,5,127.5
BRASIL,TC,ESPN2,2024-08-17 09:41:59+00,Day,WINSHARK,FUTEBOL,5,127.5
BRASIL,TC,ESPN4,2024-08-17 09:42:08+00,Day,SPORTFLIX,NOVO BONUS F,30,540
BRASIL,TC,ESPN3,2024-08-17 09:45:51+00,Day,MEGAGAME,SUPERSOCIAL,15,157.5
BRASIL,RD,CBN FM 90.5,2024-08-17 09:52:14+00,Day,BETACTION,PROFETA,29,
BRASIL,TC,ESPN5,2024-08-17 09:59:06+00,Day,NEOWIN,FUTEBOL,5,60
BRASIL,TC,ESPN5,2024-08-17 09:59:16+00,Day,WINSHARK,FUTEBOL,5,60
BRASIL,RD,ENERGIA 97.7 FM,2024-08-17 10:02:05+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,ESPN5,2024-08-17 10:03:33+00,Day,SPORTFLIX,NOVO BONUS F,30,160
BRASIL,TC,ESPN5,2024-08-17 10:21:36+00,Day,MEGAGAME,ABRA SUA CONTA,30,160
BRASIL,TC,ESPN,2024-08-17 10:28:59+00,Day,NEOWIN,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 10:29:09+00,Day,LUCKY LINE,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 10:29:14+00,Day,MEGAGAME,SUPER BONUS 500,30,740
BRASIL,TC,ESPN3,2024-08-17 10:30:10+00,Day,MEGAGAME,CICLISMO,5,78.75
BRASIL,TC,BANDSPORTS,2024-08-17 10:32:20+00,Day,VIRTUAL CHARM,RESPEITO SEGURANCA,30,1292
BRASIL,TC,SPORTV,2024-08-17 10:39:48+00,Day,SPORTFLIX,NOVO BONUS F,30,984
BRASIL,TC,ESPN5,2024-08-17 10:44:08+00,Day,NEOWIN,FUTEBOL,5,60
BRASIL,TC,ESPN5,2024-08-17 10:44:23+00,Day,LUCKY LINE,FUTEBOL,5,60
BRASIL,TC,ESPN4,2024-08-17 10:45:48+00,Day,NEOWIN,FUTEBOL,5,202.5
BRASIL,TC,ESPN4,2024-08-17 10:45:58+00,Day,WINSHARK,FUTEBOL,5,202.5
BRASIL,TC,ESPN,2024-08-17 10:48:36+00,Day,SPORTFLIX,NOVO BONUS F,30,740
BRASIL,TC,ESPN,2024-08-17 10:50:16+00,Day,NEOWIN,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 10:50:26+00,Day,LUCKY LINE,FUTEBOL,5,277.5
